Address,Balance
kujira177kn07fwtfl3ax5kgx9rwjmsyd8uvn38h0zlae,850886
kujira1fgr3r97cc9px0znylt6nastszgarcdvgpsmggt,183990
kujira124az0599rnnanesw7clfl77z6jppdqqt88aj9e,1145519
kujira1y843swh6y7mur2gz5dgwsvf78jq7tlgmlvt75g,4341089
kujira14fx48affm0ym3vca9g2w5w80s426fzncnlf2a7,35
kujira1huyg5jssghecxjdueslmyf0du89gesn4e9ke4w,1041031
kujira17tanek3feqlzmyw0jaz684qvgyn76j9quzzf4n,1945554
kujira1sk8vr99zyf00vpgvjgxskttjs6yzvmzj03jdzm,91998
kujira15pp04psp0vej49x66nzhy447rtfjgqfqcs2vpe,1090737
kujira135a9tg9fz9wjuff0sde4pw66s09qk3jgxn40gd,1039349
kujira1vl4ahzz2htu6wekfuftjt4yyj3gjztpuku0rhf,140369
kujira1r970ld0s5j4f6alltnpzg4jmadsajn40kpxn38,256439
kujira1dr4g2pmsjxsfhpqswuj0zvkhvaj5a899utgr4n,281700
kujira1s4knp4q9mfaamp8pf8y20zm8fe75uapkjgt3mt,268167
kujira142hp7z8m8v8r620ycshywk62zs9dckmzc3wav0,2585
kujira1470vuzh85ezuyn275wse86l3502gfaug25fu56,3337775
kujira1q09fhkl44nlhra8xc64smsew6sshehmngjd97l,1056915
kujira1p5uaf45n6en6xur8ww999wpycdh25mh37x7wrz,1925430
kujira1gr57dpyv8lm8zem0nnj5mqwdw966nmezc8w2eg,52627122
kujira1dee85pzxgr5hcapg90dz0a68zf9a3tecdwnfxe,239471
kujira16r830xe7k54s7kcrheq83uwdfuxvzxnufkgpw2,345412
kujira1647pffzdaakfyusuw509aynk7xfw4uwju03pkp,75119
kujira1q5yppku5s9ypshang9hg0r0zcc0jvl6paqlw53,478339
kujira17runfsvml886glcqzujgntm7zegn6llc7zfy6y,425
kujira1x7fkwgglg3uwh0z2taq9ysf7q7hvt2erwql8dl,1322100
kujira18rdzwdpr0nsnds0ydqtcr4nuxl7kpk0t6zz4nf,1397233
kujira12rksp8r5we7qrw0r89lwudhg72tn4t5tgrw5zu,2678516
kujira10q2cc72qkraygwujgqc9c0yn9sfwk40qzq7pvl,816599488
kujira15p4gfmq4p9qqt6yhsd3whqu8qtej8xgdu5shzd,137827
kujira1h3j4tjl3a0pkt4mqsgw6djmh2hcsq577qjaaex,317957
kujira1z8gmxheuxu3wytpevlsynvyvcuzla8xzvg82jl,1054401
kujira1v3xm0x0aslc999u9c5wt8tyvmrgu35fuv7dth5,196480
kujira10wdjf48c5qwegh0leuedxw2sz8u2dsnw3zdntr,438908
kujira1s9wna97kv48sntzhxx5yjkvnkxvwhwy2l2aa9h,60329
kujira1eq6hhqdux8mn5l9797x3dc7j5jkvhyrl6kv8fh,3779172
kujira1uf8qzz9cag6cduehsaxnr6ludx3wqselytx08n,205885711508
kujira1pdyj20kljv9rh9vuy4t8w2dx43ku69q22yusac,965290
kujira10sw0s399tuzempngcxgwnwdjt4ynsea54muvhp,534372
kujira1480n8lt4wgdndh92uq2ngxpdgzjlkkxx994syc,475095
kujira14nznnhk7vcs6xnxel30w9yxw0a4nvwn25swvaf,43268
kujira1m0tlsu7us389fj6w3u34pnl5mav2ccx4frjhdj,1481285
